run_id,dataset,setting,model_alias,provider,access_date,temperature,response_format,config,git_commit_hash,command_line,output_paths,prompt_dirs,started_at_utc,completed_at_utc,llm_calls,tokens,runtime_seconds,invalid_json_count,evidence_package_checksum,output_checksum,notes
closure_full_61_80,Closure-61..80,full one-shot rerank-all,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_61_80.jsonl --bm25 outputs/closure_heldout_61_80_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_61_80_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_61_80_full_rerank_all_s12_ctx12000_top50,outputs/rq2_followup_2026_06_26/closure_61_80_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_61_80_full_rerank_all_s12_ctx12000_top50,2026-06-26T08:05:15.824122+00:00,2026-06-26T08:11:05.863122+00:00,19,693707,350.039,0,91d56367ca7376cfe9e52c83ad6e6e9515f5c41747a14c81f8dcd1a9da1a50f0,8298b530335ac7a9fa0766f989d1f358eb290d6f4266a0ff1548c2d0330fe580,
closure_full_81_100,Closure-81..100,full one-shot rerank-all,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_81_100.jsonl --bm25 outputs/closure_heldout_81_100_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_81_100_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_81_100_full_rerank_all_s12_ctx12000_top50,outputs/rq2_followup_2026_06_26/closure_81_100_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_81_100_full_rerank_all_s12_ctx12000_top50,2026-06-26T08:11:42.210476+00:00,2026-06-26T08:17:38.881476+00:00,19,727195,356.67100000000005,0,a253539cf447f29524ed260d1330e4ded6bc19908647a8d9ab03e4eb54b385a4,1252a96856c03dce327be4fde24126aa92b4b3d66fa853f57f25bfe6d4b705d2,
math_full_21_40,Math-21..40,full one-shot rerank-all,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,python3 scripts/run_llm_rerank.py --bugs data/defects4j/math_fresh_21_40.jsonl --bm25 outputs/math_fresh_21_40_hybrid_focused_direct_top50.jsonl --out outputs/rq2_followup_2026_06_26/math_21_40_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/math_21_40_full_rerank_all_s12_ctx12000_top50,outputs/rq2_followup_2026_06_26/math_21_40_full_rerank_all_deepseek_s12_ctx12000_top50.jsonl,outputs/prompts_rq2_followup_2026_06_26/math_21_40_full_rerank_all_s12_ctx12000_top50,2026-06-26T08:46:44.881895+00:00,2026-06-26T08:53:20.305895+00:00,20,652313,395.424,0,250553e322e7a0849c43a986dd01cdb14766af67f724f7199403b4b595912a39,d5042cedd6de4ddc53cfc2045fa82bf85ffe11adef20f984a6f655cac9b3dd5a,
aboutwork_full_60,AboutWork-60,full one-shot rerank-all,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=18, retrieval evidence, no triggering-test context; matches the 2026-06-08 AboutWork selector_v3 selective run",unavailable:not_a_git_repository,python3 scripts/run_llm_rerank.py --bugs data/aboutwork/aboutwork_committed_60.jsonl --bm25 outputs/aboutwork_committed_60_bm25_top50.jsonl --out outputs/rq2_followup_2026_06_26/aboutwork_60_full_rerank_all_deepseek_selector_v3_legacy_evidence_top50.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 18 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/aboutwork_60_full_rerank_all_selector_v3_legacy_evidence_top50,outputs/rq2_followup_2026_06_26/aboutwork_60_full_rerank_all_deepseek_selector_v3_legacy_evidence_top50.jsonl,outputs/prompts_rq2_followup_2026_06_26/aboutwork_60_full_rerank_all_selector_v3_legacy_evidence_top50,2026-06-26T08:56:58.492840+00:00,2026-06-26T09:16:10.334840+00:00,60,1867359,1151.8419999999996,0,fc010c1306eca3e760406f7968814aa080dd6d71716695f0422a0d757d2353a6,82f7ba481f10866d45440003d36d8e9e4808164b0d210db57e9af2f655cfad98,Case-study diagnostic only; this preserves exact comparability with the existing AboutWork selective run.
closure_original_selective_61_80,Closure-61..80,original selective one-shot rerank,deepseek-v4-flash,deepseek,2026-06-02,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,recorded historical run; see docs/worklog.md and output prompt_path fields,outputs/closure_heldout_61_80_rerank_deepseek_closure_cost_control_v3_s12_ctx12000_top50.jsonl,outputs/prompts_closure_heldout_61_80_cost_control_v3_s12_ctx12000_top50,2026-06-02T08:14:40.153080+00:00,2026-06-02T08:16:27.138080+00:00,6,225551,106.98500000000001,0,454614519a56d013c6984f7d4674aded6078bcb6adb0355f0716e1934b018a3a,a990d9f7a1baf6db80c6ea1fa533c13c2626b4bbccbe07e013e7c13ac80167a0,Original main selective run retained as main result.
closure_original_selective_81_100,Closure-81..100,original selective one-shot rerank,deepseek-v4-flash,deepseek,2026-06-02,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,recorded historical run; see docs/worklog.md and output prompt_path fields,outputs/closure_heldout_81_100_rerank_deepseek_closure_cost_control_v3_s12_ctx12000_top50.jsonl,outputs/prompts_closure_heldout_81_100_cost_control_v3_s12_ctx12000_top50,2026-06-02T09:07:13.636135+00:00,2026-06-02T09:08:25.489135+00:00,5,183017,71.853,0,525eed7fa7dbf020c71e00d3f8ce3bfa67502b78f9ade489cbdee3ea7243f91c,617551b7f7960c948b20325e1c989b76e7d25202ed7577aa8d7b2179749d8fbd,Original main selective run retained as main result.
closure_selective_variance_run1_61_80,Closure-61..80,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_61_80.jsonl --bm25 outputs/closure_heldout_61_80_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run1_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-64,Closure-69,Closure-70,Closure-72,Closure-76,Closure-77 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run1_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run1_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run1_deepseek_s12_ctx12000_top50,2026-06-26T08:24:50.689238+00:00,2026-06-26T08:27:09.418238+00:00,6,228330,138.729,0,184a76ec60bcda776b0bad4d7d3b0e099f108b4781ceded1375fa4e44ecfe283,524d917fdd391e2cc7275e6a882ef1f62a1844f04be2b048692e438dfa157de3,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run1_81_100,Closure-81..100,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_81_100.jsonl --bm25 outputs/closure_heldout_81_100_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run1_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-82,Closure-83,Closure-91,Closure-95,Closure-100 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run1_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run1_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run1_deepseek_s12_ctx12000_top50,2026-06-26T08:27:12.681735+00:00,2026-06-26T08:28:52.541735+00:00,5,186291,99.86,0,51992e019d7d170dba0e9fe27bc76f8f9c3c99b895ad40ea25fa3e2058ad8870,9834ed0ae279ddb671d7c9708aaf5a7f9ca8900999910f18ddeae345df2d3733,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run2_61_80,Closure-61..80,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_61_80.jsonl --bm25 outputs/closure_heldout_61_80_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run2_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-64,Closure-69,Closure-70,Closure-72,Closure-76,Closure-77 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run2_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run2_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run2_deepseek_s12_ctx12000_top50,2026-06-26T08:28:57.225409+00:00,2026-06-26T08:30:48.253409+00:00,6,225181,111.028,0,35eea609b93d0fed7447acb25f9d5f6772c05eed04569601f30a1b2737dca462,38655ea6542954a969bf2c374dd14627f7a6f365259e56e3624a3b9e11c131f1,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run2_81_100,Closure-81..100,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_81_100.jsonl --bm25 outputs/closure_heldout_81_100_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run2_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-82,Closure-83,Closure-91,Closure-95,Closure-100 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run2_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run2_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run2_deepseek_s12_ctx12000_top50,2026-06-26T08:30:51.297787+00:00,2026-06-26T08:32:58.646787+00:00,5,188152,127.34899999999999,0,614259d79266ba84be6dc3523a0737b127575f6a9cf83c23075d395cbc2a63fc,7f360e24b20c554b910bc14763ee33ff84438197c0247633657d94e025b8f53c,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run3_61_80,Closure-61..80,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_61_80.jsonl --bm25 outputs/closure_heldout_61_80_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run3_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-64,Closure-69,Closure-70,Closure-72,Closure-76,Closure-77 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run3_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run3_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run3_deepseek_s12_ctx12000_top50,2026-06-26T08:33:02.848160+00:00,2026-06-26T08:35:21.054160+00:00,6,228098,138.206,0,e5a0b83cf29de6465bd9e52e007472216ffc86829380ab9058a5c0af4970ac14,7f7fb561cc73f3eaf7f4b0367dc1b799f85becabc421dc0011a168cb55017bdc,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run3_81_100,Closure-81..100,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_81_100.jsonl --bm25 outputs/closure_heldout_81_100_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run3_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-82,Closure-83,Closure-91,Closure-95,Closure-100 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run3_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run3_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run3_deepseek_s12_ctx12000_top50,2026-06-26T08:35:24.088339+00:00,2026-06-26T08:37:23.557339+00:00,5,187722,119.469,0,a683dacf1cbd78988156dc2b3c78fedfa05ae19f9fd34e907c3ef60dee185c1f,ceed258483d0f79cfadb9c41abc8410af810c1b3cd0ee92e60c0bce8032482f2,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run4_61_80,Closure-61..80,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_61_80.jsonl --bm25 outputs/closure_heldout_61_80_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run4_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-64,Closure-69,Closure-70,Closure-72,Closure-76,Closure-77 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run4_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_61_80_selective_variance_run4_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_61_80_selective_variance_run4_deepseek_s12_ctx12000_top50,2026-06-26T08:37:27.734185+00:00,2026-06-26T08:39:24.665185+00:00,6,226234,116.93100000000001,0,a044d836649f8a7ae32f4b6c012381e28f186a3072c963ad4abb1b5067f23958,b3fb8d81b917c21aa68ffa6e052c97874f8efd11b086c9c33030fc5d4d074a59,Selector was not rerun; selected bug ids are from the frozen selector JSON.
closure_selective_variance_run4_81_100,Closure-81..100,selective rerank repeated run,deepseek-v4-flash,deepseek,2026-06-26,0.0,json_object,"top50/top10, max_snippet_lines=12, retrieval evidence, triggering-test context up to 12000 chars",unavailable:not_a_git_repository,"python3 scripts/run_llm_rerank.py --bugs data/defects4j/closure_heldout_81_100.jsonl --bm25 outputs/closure_heldout_81_100_hybrid_focused_direct_passchain_typesystem_top50.jsonl --out outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run4_deepseek.jsonl --provider deepseek --model deepseek-v4-flash --top-candidates 50 --top-output 10 --include-retrieval-evidence --max-snippet-lines 12 --bug-ids Closure-82,Closure-83,Closure-91,Closure-95,Closure-100 --include-test-context --max-test-context-chars 12000 --prompt-dir outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run4_deepseek_s12_ctx12000_top50",outputs/rq2_followup_2026_06_26/closure_81_100_selective_variance_run4_deepseek.jsonl,outputs/prompts_rq2_followup_2026_06_26/closure_81_100_selective_variance_run4_deepseek_s12_ctx12000_top50,2026-06-26T08:39:27.700131+00:00,2026-06-26T08:41:12.143131+00:00,5,186415,104.443,0,bf41319c96cc3ab9332f8f37c7036da3c34dc0861ceb19c6a8d232118fbd57b5,ce95a6ac72fe536128d32054487c06dd46adbff0469d6a5478ca25068fa34d33,Selector was not rerun; selected bug ids are from the frozen selector JSON.
